Date,Description,Amount,Category
2025-07-01,Whole Foods Market,89.32,Groceries
2025-07-02,Shell Gas Station,45.00,Gas
2025-07-03,Starbucks,5.75,Coffee
2025-07-05,Target,156.23,Shopping
2025-07-06,Netflix,15.99,Entertainment
2025-07-08,Chipotle,12.50,Dining
2025-07-10,Uber,18.75,Transportation
2025-07-12,Amazon Prime,139.00,Shopping
2025-07-15,Rent Payment,2500.00,Housing
2025-07-16,Electric Bill,125.00,Utilities
2025-07-18,Trader Joe's,76.45,Groceries
2025-07-20,LA Fitness,35.00,Fitness
2025-07-22,Movie Theater,28.00,Entertainment
2025-07-25,Restaurant,85.50,Dining
2025-07-28,Gas Station,52.00,Gas
2025-07-30,Phone Bill,75.00,Utilities